cluster_id,observation_count,active_days,first_detection,last_detection,time_span_days,start_latitude,start_longitude,end_latitude,end_longitude,total_movement_distance_km,movement_rate_km_per_day,movement_bearing_degrees,movement_direction,movement_confidence,movement_status,direction,movement_pattern,direction_confidence,direction_confidence_score,direction_available
61,1,1,2026-08-01T19:30:00+00:00,2026-08-01T19:30:00+00:00,0.0,9.14897,78.30833,9.14897,78.30833,0.0,0.0,0.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,insufficient_evidence,INSUFFICIENT,0,False
62,5,2,2026-08-01T20:19:00+00:00,2026-08-02T07:33:00+00:00,0.468,23.16542,82.34002,23.16589,82.34008,0.052,0.112,7.01,N,LOW,STATIONARY,,stationary,INSUFFICIENT,0,False
63,5,2,2026-08-01T20:19:00+00:00,2026-08-02T19:06:00+00:00,0.949,23.6821,86.09514,23.67835,86.08409,1.201,1.265,249.63,W,MEDIUM,MOVING,W,directional,PRELIMINARY,33,True
64,1,1,2026-08-01T20:19:00+00:00,2026-08-01T20:19:00+00:00,0.0,23.69513,85.28842,23.69513,85.28842,0.0,0.0,0.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,insufficient_evidence,INSUFFICIENT,0,False
65,4,2,2026-08-01T20:19:00+00:00,2026-08-02T20:02:00+00:00,0.988,23.77422,86.36267,23.77583,86.36382,0.214,0.217,33.12,NE,LOW,STATIONARY,,stationary,INSUFFICIENT,0,False
66,4,2,2026-08-01T20:19:00+00:00,2026-08-02T20:02:00+00:00,0.988,23.77842,86.38842,23.77811,86.38837,0.035,0.036,187.76,S,LOW,STATIONARY,,stationary,INSUFFICIENT,0,False
67,3,1,2026-08-01T20:19:00+00:00,2026-08-01T20:19:00+00:00,0.0,23.78277,85.57211,23.78277,85.57211,0.0,0.0,0.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,insufficient_evidence,INSUFFICIENT,0,False
68,3,2,2026-08-01T20:19:00+00:00,2026-08-02T20:02:00+00:00,0.988,23.78488,86.3416,23.78182,86.34728,0.67,0.679,120.44,SE,LOW,MOVING,SE,directional,PRELIMINARY,33,True
69,1,1,2026-08-01T20:19:00+00:00,2026-08-01T20:19:00+00:00,0.0,23.79527,86.23495,23.79527,86.23495,0.0,0.0,0.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,insufficient_evidence,INSUFFICIENT,0,False
70,4,2,2026-08-01T20:19:00+00:00,2026-08-02T20:02:00+00:00,0.988,23.79707,86.35059,23.7961,86.35147,0.14,0.142,140.51,SE,LOW,STATIONARY,,stationary,INSUFFICIENT,0,False
71,1,1,2026-08-01T20:19:00+00:00,2026-08-01T20:19:00+00:00,0.0,23.82386,85.49789,23.82386,85.49789,0.0,0.0,0.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,insufficient_evidence,INSUFFICIENT,0,False
72,3,3,2026-08-01T20:19:00+00:00,2026-08-05T20:46:00+00:00,4.019,24.76533,74.60587,24.76417,74.60862,0.306,0.076,114.92,SE,LOW,STATIONARY,,stationary,INSUFFICIENT,0,False
73,2,2,2026-08-01T20:19:00+00:00,2026-08-02T20:02:00+00:00,0.988,25.03351,87.3898,25.03508,87.38956,0.176,0.178,352.11,N,LOW,STATIONARY,,stationary,INSUFFICIENT,0,False
74,3,1,2026-08-01T20:19:00+00:00,2026-08-01T21:06:00+00:00,0.033,26.64242,79.47906,26.64242,79.47906,0.0,0.0,0.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,insufficient_evidence,INSUFFICIENT,0,False
75,2,1,2026-08-01T20:21:00+00:00,2026-08-01T20:21:00+00:00,0.0,17.13998,77.1815,17.13998,77.1815,0.0,0.0,0.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,insufficient_evidence,INSUFFICIENT,0,False
76,16,4,2026-08-01T20:21:00+00:00,2026-08-04T19:25:00+00:00,2.961,17.61027,83.2024,17.61057,83.20392,0.165,0.056,78.3,E,LOW,STATIONARY,,stationary,INSUFFICIENT,0,False
77,2,2,2026-08-01T20:21:00+00:00,2026-08-03T08:01:00+00:00,1.486,20.69718,78.63522,20.69543,78.63831,0.376,0.253,121.19,SE,LOW,STATIONARY,,stationary,INSUFFICIENT,0,False
78,1,1,2026-08-01T20:21:00+00:00,2026-08-01T20:21:00+00:00,0.0,21.00937,80.87962,21.00937,80.87962,0.0,0.0,0.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,insufficient_evidence,INSUFFICIENT,0,False
79,6,2,2026-08-01T20:21:00+00:00,2026-08-04T20:10:00+00:00,2.992,21.18491,81.38807,21.192,81.39223,0.898,0.3,28.71,NE,LOW,MOVING,NE,directional,PRELIMINARY,33,True
80,1,1,2026-08-01T20:21:00+00:00,2026-08-01T20:21:00+00:00,0.0,21.18909,81.20028,21.18909,81.20028,0.0,0.0,0.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,insufficient_evidence,INSUFFICIENT,0,False
81,3,2,2026-08-01T20:21:00+00:00,2026-08-02T20:46:00+00:00,1.017,21.24896,79.20756,21.2485,79.20795,0.065,0.064,142.04,SE,LOW,STATIONARY,,stationary,INSUFFICIENT,0,False
82,1,1,2026-08-01T20:21:00+00:00,2026-08-01T20:21:00+00:00,0.0,21.56129,81.75552,21.56129,81.75552,0.0,0.0,0.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,insufficient_evidence,INSUFFICIENT,0,False
83,1,1,2026-08-01T20:21:00+00:00,2026-08-01T20:21:00+00:00,0.0,21.63124,82.11251,21.63124,82.11251,0.0,0.0,0.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,insufficient_evidence,INSUFFICIENT,0,False
84,1,1,2026-08-01T20:21:00+00:00,2026-08-01T20:21:00+00:00,0.0,21.67444,82.08134,21.67444,82.08134,0.0,0.0,0.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,insufficient_evidence,INSUFFICIENT,0,False
85,1,1,2026-08-01T20:21:00+00:00,2026-08-01T20:21:00+00:00,0.0,21.73024,82.21424,21.73024,82.21424,0.0,0.0,0.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,insufficient_evidence,INSUFFICIENT,0,False
86,1,1,2026-08-01T20:21:00+00:00,2026-08-01T20:21:00+00:00,0.0,22.00468,82.67042,22.00468,82.67042,0.0,0.0,0.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,insufficient_evidence,INSUFFICIENT,0,False
